INSERT INTO airline_7_with_fks.flights VALUES
(1, 'DXB', 'LHR', 1, 'FN001', '2024-06-22 13:54:36', '2024-10-12 01:49:53'),
(36, 'LAX', 'DXB', 6, 'FN036', '2024-12-30 12:33:36', '2024-04-04 23:38:52'),
(37, 'LAX', 'JFK', 13, 'FN037', '2024-10-21 14:37:43', '2024-08-09 07:16:52'),
(38, 'LHR', 'LAX', 40, 'FN038', '2024-11-29 12:35:57', '2024-10-07 20:45:56'),
(39, 'LHR', 'JFK', 1, 'FN039', '2024-12-25 07:44:33', '2024-07-05 12:08:13'),
(40, 'JFK', 'LHR', 37, 'FN040', '2024-12-09 04:15:08', '2024-10-11 06:17:12'),
(41, 'DXB', 'LHR', 5, 'FN041', '2024-01-10 14:12:36', '2024-11-29 01:00:00'),
(42, 'JFK', 'DXB', 3, 'FN042', '2024-07-18 20:13:44', '2024-03-02 02:45:23'),
(43, 'LAX', 'HND', 14, 'FN043', '2024-05-01 17:24:53', '2024-10-22 09:05:30'),
(44, 'HND', 'DXB', 11, 'FN044', '2024-10-10 02:50:40', '2024-09-15 21:34:47'),
(45, 'LHR', 'JFK', 8, 'FN045', '2024-11-17 03:39:55', '2024-04-22 05:23:11'),
(46, 'DXB', 'LAX', 6, 'FN046', '2024-08-15 22:12:26', '2024-02-10 17:32:00'),
(47, 'LHR', 'DXB', 12, 'FN047', '2024-12-05 11:03:00', '2024-09-12 18:23:42'),
(48, 'JFK', 'LAX', 31, 'FN048', '2024-10-22 12:45:01', '2024-03-08 01:54:44'),
(49, 'HND', 'LHR', 9, 'FN049', '2024-03-23 23:20:17', '2024-07-29 09:15:32'),
(50, 'DXB', 'JFK', 20, 'FN050', '2024-06-11 06:02:45', '2024-01-15 08:22:55'),
(51, 'LAX', 'DXB', 7, 'FN051', '2024-09-10 17:12:55', '2024-11-10 15:34:12'),
(52, 'LHR', 'JFK', 5, 'FN052', '2024-03-18 04:22:39', '2024-06-23 09:11:41'),
(53, 'DXB', 'HND', 14, 'FN053', '2024-05-10 15:11:52', '2024-02-17 03:12:00'),
(54, 'JFK', 'LHR', 37, 'FN054', '2024-07-19 11:09:21', '2024-12-04 23:45:29'),
(55, 'LAX', 'DXB', 16, 'FN055', '2024-08-01 14:21:50', '2024-05-20 07:53:33')
;
