film_id,title,release_year,language_id,length,rating
102,BUBBLE GROSSE,2007,4,60,R
103,BUCKET BROTHERHOOD,2008,1,133,PG
104,BUGSY SONG,2009,3,119,G
105,BULL SHAWSHANK,2010,1,125,NC-17
106,BULWORTH COMMANDMENTS,2011,2,61,G
107,BUNCH MINDS,2012,1,63,G
108,BUTCH PANTHER,2013,1,67,PG-13
109,BUTTERFLY CHOCOLAT,2014,1,89,G
110,CABIN FLASH,2015,1,53,NC-17
111,CADDYSHACK JEDI,2016,1,52,NC-17
112,CALENDAR GUNFIGHT,2017,1,120,NC-17
113,CALIFORNIA BIRDS,2018,1,75,NC-17
114,CAMELOT VACATION,2019,2,61,NC-17
115,CAMPUS REMEMBER,2020,1,167,R
116,CANDIDATE PERDITION,2006,1,70,R
117,CANDLES GRAPES,2006,2,135,NC-17
118,CANYON STOCK,2006,1,85,R
119,CAPER MOTIONS,2006,1,176,G
120,CARIBBEAN LIBERTY,2006,3,92,NC-17
121,CAROL TEXAS,2006,1,151,PG
122,CARRIE BUNCH,2006,1,114,PG
123,CASABLANCA SUPER,2006,4,85,G
124,CASPER DRAGONFLY,2006,1,163,PG-13
125,CASSIDY WYOMING,2006,5,61,NC-17
126,CASUALTIES ENCINO,2006,1,179,G
127,CAT CONEHEADS,2006,1,112,G
128,CATCH AMISTAD,2006,1,183,G
129,CAUSE DATE,2006,1,179,R
130,CELEBRITY HORN,2006,6,110,PG-13
131,CENTER DINOSAUR,2006,1,152,PG
132,CHAINSAW UPTOWN,2006,1,114,PG
133,CHAMBER ITALIAN,2006,5,117,NC-17
134,CHAMPION FLATLINERS,2006,1,51,PG
135,CHANCE RESURRECTION,2006,1,70,R
136,CHAPLIN LICENSE,2019,5,146,NC-17
137,CHARADE DUFFEL,2019,1,66,PG
138,CHARIOTS CONSPIRACY,2019,5,71,R
139,CHASING FIGHT,2019,5,114,PG
140,CHEAPER CLYDE,2019,5,87,G
141,CHICAGO NORTH,2019,6,185,PG-13
142,CHICKEN HELLFIGHTERS,2019,1,122,PG
143,CHILL LUCK,2019,1,142,PG
144,CHINATOWN GLADIATOR,2019,1,61,PG
145,CHISUM BEHAVIOR,2019,1,124,G
146,CHITTY LOCK,2019,1,107,G
147,CHOCOLAT HARRY,2006,1,101,NC-17
148,CHOCOLATE DUCK,2006,1,132,R
149,CHRISTMAS MOONSHINE,2006,1,150,NC-17
150,CIDER DESIRE,2006,1,101,PG
151,CINCINATTI WHISPERER,2006,1,143,NC-17
152,CIRCUS YOUTH,2006,1,90,PG-13
153,CITIZEN SHREK,2006,1,165,G
154,CLASH FREDDY,2006,1,81,G
155,CLEOPATRA DEVIL,2006,1,150,PG-13
156,CLERKS ANGELS,2006,1,164,G
157,CLOCKWORK PARADISE,2006,1,143,PG-13
158,CLONES PINOCCHIO,2006,1,124,R
159,CLOSER BANG,2006,1,58,R
160,CLUB GRAFFITI,2006,1,65,PG-13
161,CLUE GRAIL,2006,1,70,NC-17
162,CLUELESS BUCKET,2006,1,95,R
163,CLYDE THEORY,2000,1,139,PG-13
164,COAST RAINBOW,2000,1,55,PG
165,COLDBLOODED DARLING,2000,1,70,G
166,COLOR PHILADELPHIA,2000,1,149,G
167,COMA HEAD,2000,1,109,NC-17
168,COMANCHEROS ENEMY,2000,1,67,R
169,COMFORTS RUSH,2000,1,76,NC-17
170,COMMAND DARLING,2000,6,120,PG-13
171,COMMANDMENTS EXPRESS,2000,6,59,R
172,CONEHEADS SMOOCHY,2000,6,112,NC-17
173,CONFESSIONS MAGUIRE,2000,6,65,PG-13
174,CONFIDENTIAL INTERVIEW,2006,6,180,NC-17
175,CONFUSED CANDLES,2006,6,122,PG-13
176,CONGENIALITY QUEST,2006,6,87,PG-13
177,CONNECTICUT TRAMP,2006,6,172,R
178,CONNECTION MICROCOSMOS,2006,6,115,G
179,CONQUERER NUTS,2006,6,173,G
180,CONSPIRACY SPIRIT,2006,6,184,PG-13
181,CONTACT ANONYMOUS,2006,6,166,PG-13
182,CONTROL ANTHEM,2006,6,185,G
183,CONVERSATION DOWNHILL,2006,6,112,R
184,CORE SUIT,2006,6,92,PG-13
185,COWBOY DOOM,2006,6,146,PG
186,CRAFT OUTFIELD,2006,6,64,NC-17
187,CRANES RESERVOIR,2006,6,57,NC-17
188,CRAZY HOME,2006,6,136,PG
189,CREATURES SHAKESPEARE,2006,6,139,NC-17
190,CREEPERS KANE,2006,6,172,NC-17
191,CROOKED FROGMEN,2006,6,143,PG-13
192,CROSSING DIVORCE,2006,6,50,R
193,CROSSROADS CASUALTIES,2006,6,153,G
194,CROW GREASE,2006,6,104,PG
195,CROWDS TELEMARK,2006,6,112,R
196,CRUELTY UNFORGIVEN,2006,6,69,G
197,CRUSADE HONEY,2006,1,112,R
198,CRYSTAL BREAKING,2006,1,184,NC-17
199,CUPBOARD SINNERS,2006,1,56,R
200,CURTAIN VIDEOTAPE,2006,1,133,PG-13
201,CYCLONE FAMILY,2006,1,176,PG
202,DADDY PITTSBURGH,2006,1,161,G
203,DAISY MENAGERIE,2006,1,84,G
204,DALMATIONS SWEDEN,2006,1,106,PG
205,DANCES NONE,2006,1,58,NC-17
206,DANCING FEVER,2006,1,144,G
207,DANGEROUS UPTOWN,2006,1,121,PG
208,DARES PLUTO,2006,1,89,PG-13
209,DARKNESS WAR,2006,1,99,NC-17
210,DARKO DORADO,1995,1,130,NC-17
211,DARLING BREAKING,1995,1,165,PG-13
212,DARN FORRESTER,1995,1,185,G
213,DATE SPEED,1995,1,104,R
214,DAUGHTER MADIGAN,1995,1,59,PG-13
215,DAWN POND,1995,1,57,PG
216,DAY UNFAITHFUL,1995,1,113,G
217,DAZED PUNK,1995,1,120,G
218,DECEIVER BETRAYED,1995,1,122,NC-17
219,DEEP CRUSADE,1995,1,51,PG-13
220,DEER VIRGINIAN,1995,2,106,NC-17
221,DELIVERANCE MULHOLLAND,1996,2,100,R
222,DESERT POSEIDON,1997,2,64,R
223,DESIRE ALIEN,1998,2,76,NC-17
224,DESPERATE TRAINSPOTTING,1999,2,81,G
225,DESTINATION JERK,2000,2,76,PG-13
226,DESTINY SATURDAY,2001,2,56,G
227,DETAILS PACKER,2002,2,88,R
228,DETECTIVE VISION,2003,2,143,PG-13
229,DEVIL DESIRE,2004,2,87,R
230,DIARY PANIC,2005,2,107,G
231,DINOSAUR SECRETARY,2006,2,63,R
232,DIRTY ACE,2007,2,147,NC-17
233,DISCIPLE MOTHER,2008,2,141,PG
234,DISTURBING SCARFACE,2009,2,94,R
235,DIVIDE MONSTER,2010,2,68,PG-13
236,DIVINE RESURRECTION,2011,2,100,R
237,DIVORCE SHINING,2012,2,47,G
238,DOCTOR GRAIL,2013,2,57,G
239,DOGMA FAMILY,2014,2,122,G
240,DOLLS RAGE,2015,2,120,PG-13
241,DONNIE ALLEY,2016,2,125,NC-17
242,DOOM DANCING,2017,2,68,R
243,DOORS PRESIDENT,2018,2,49,NC-17
244,DORADO NOTTING,2019,2,139,NC-17
245,DOUBLE WRATH,2020,2,177,R
246,DOUBTFIRE LABYRINTH,2006,2,154,R
247,DOWNHILL ENOUGH,2006,2,47,G
248,DOZEN LION,2006,2,177,NC-17
249,DRACULA CRYSTAL,2006,2,176,G
250,DRAGON SQUAD,2006,2,170,NC-17
251,DRAGONFLY STRANGERS,2006,2,133,NC-17
252,DREAM PICKUP,2006,2,135,PG
253,DRIFTER COMMANDMENTS,2006,2,61,PG-13
254,DRIVER ANNIE,2006,2,159,PG-13
255,DRIVING POLISH,2006,2,175,NC-17
256,DROP WATERFRONT,2006,2,178,R
257,DRUMLINE CYCLONE,2006,2,110,G
258,DRUMS DYNAMITE,2006,2,96,PG
259,DUCK RACER,2006,2,116,NC-17
260,DUDE BLINDNESS,2006,2,132,G
261,DUFFEL APOCALYPSE,2006,2,171,G
262,DUMBO LUST,2006,1,119,NC-17
263,DURHAM PANKY,2006,1,154,R
264,DWARFS ALTER,2006,1,101,G
265,DYING MAKER,2006,1,168,PG
266,DYNAMITE TARZAN,2006,1,141,PG-13
267,EAGLES PANKY,2006,1,140,NC-17
268,EARLY HOME,2006,1,96,NC-17
269,EARRING INSTINCT,2006,1,98,R
270,EARTH VISION,2006,1,85,NC-17
271,EASY GLADIATOR,2006,1,148,G
272,EDGE KISSING,2006,1,153,NC-17
273,EFFECT GLADIATOR,2006,1,107,PG
274,EGG IGBY,2006,1,67,PG
275,EGYPT TENENBAUMS,1968,1,85,PG
276,ELEMENT FREDDY,1969,1,115,NC-17
277,ELEPHANT TROJAN,1970,1,126,PG-13
278,ELF MURDER,1971,1,155,NC-17
279,ELIZABETH SHANE,1972,1,152,NC-17
280,EMPIRE MALKOVICH,1973,1,177,G
281,ENCINO ELF,1974,1,143,G
282,ENCOUNTERS CURTAIN,1975,1,92,NC-17
283,ENDING CROWDS,1976,1,85,NC-17
284,ENEMY ODDS,1977,1,77,NC-17
285,ENGLISH BULWORTH,1978,1,51,PG-13
286,ENOUGH RAGING,1979,1,158,NC-17
287,ENTRAPMENT SATISFACTION,1980,1,176,R
288,ESCAPE METROPOLIS,1981,1,167,R
289,EVE RESURRECTION,1982,1,66,G
290,EVERYONE CRAFT,1983,1,163,PG
291,EVOLUTION ALTER,1984,1,174,PG-13
292,EXCITEMENT EVE,1985,1,51,G
293,EXORCIST STING,1986,3,167,G
294,EXPECATIONS NATURAL,1987,3,138,PG-13
295,EXPENDABLE STALLION,1988,3,97,PG
296,EXPRESS LONELY,1989,3,178,R
297,EXTRAORDINARY CONQUERER,1990,3,122,G
298,EYES DRIVING,1991,3,172,PG-13
299,FACTORY DRAGON,1992,3,144,PG-13
300,FALCON VOLUME,1993,3,102,PG-13
301,FAMILY SWEET,1994,3,155,R
302,FANTASIA PARK,1995,3,131,G
303,FANTASY TROOPERS,1996,3,58,PG-13
304,FARGO GANDHI,1997,3,130,G
305,FATAL HAUNTED,1998,3,91,PG
306,FEATHERS METAL,1999,3,104,PG-13
307,FELLOWSHIP AUTUMN,2000,3,77,NC-17
308,FERRIS MOTHER,2001,3,142,PG
309,FEUD FROGMEN,2002,3,98,R
310,FEVER EMPIRE,2003,3,158,R
311,FICTION CHRISTMAS,2004,3,72,PG
312,FIDDLER LOST,2005,3,75,R
313,FIDELITY DEVIL,2006,3,118,G
314,FIGHT JAWBREAKER,2007,1,91,R
315,FINDING ANACONDA,2008,1,156,R
316,FIRE WOLVES,2009,1,173,R
317,FIREBALL PHILADELPHIA,2010,1,148,PG
318,FIREHOUSE VIETNAM,2011,1,103,G
319,FISH OPUS,2012,1,125,R
320,FLAMINGOS CONNECTICUT,2013,1,80,PG-13
321,FLASH WARS,2014,1,123,NC-17
322,FLATLINERS KILLER,2015,1,100,G
323,FLIGHT LIES,2016,1,179,R
324,FLINTSTONES HAPPINESS,2017,1,148,PG-13
325,FLOATS GARDEN,2018,1,145,PG-13
326,FLYING HOOK,2019,1,69,NC-17
327,FOOL MOCKINGBIRD,2020,1,158,PG
328,FOREVER CANDIDATE,2006,1,131,NC-17
329,FORREST SONS,2006,1,63,R
330,FORRESTER COMANCHEROS,2006,1,112,NC-17
331,FORWARD TEMPLE,2006,1,90,NC-17
332,FRANKENSTEIN STRANGER,2006,1,159,NC-17
333,FREAKY POCUS,2006,1,126,R
334,FREDDY STORM,2006,1,65,NC-17
335,FREEDOM CLEOPATRA,2006,1,133,PG-13
336,FRENCH HOLIDAY,2006,1,99,PG
337,FRIDA SLIPPER,2006,1,73,R
338,FRISCO FORREST,2006,4,51,PG
339,FROGMEN BREAKING,2006,4,111,R
340,FRONTIER CABIN,2006,4,183,PG-13
341,FROST HEAD,2006,4,82,PG
342,FUGITIVE MAGUIRE,2006,4,83,R
343,FULL FLATLINERS,2006,4,94,PG
344,FURY MURDER,2006,4,178,PG-13
345,GABLES METROPOLIS,1968,4,161,PG
346,GALAXY SWEETHEARTS,1969,4,128,R
347,GAMES BOWFINGER,1970,4,119,PG-13
348,GANDHI KWAI,1971,4,86,PG-13
349,GANGS PRIDE,1972,4,185,PG-13
350,GARDEN ISLAND,1973,4,80,G
351,GASLIGHT CRUSADE,1974,4,106,PG
352,GATHERING CALENDAR,1975,4,176,PG-13
353,GENTLEMEN STAGE,1976,4,125,NC-17
354,GHOST GROUNDHOG,1977,1,85,G
355,GHOSTBUSTERS ELF,1978,1,101,R
356,GIANT TROOPERS,1979,1,102,R
357,GILBERT PELICAN,1980,1,114,G
358,GILMORE BOILED,1981,1,163,R
359,GLADIATOR WESTWARD,1982,1,173,PG
360,GLASS DYING,1983,1,103,G
361,GLEAMING JAWBREAKER,1984,1,89,NC-17
362,GLORY TRACY,1985,1,115,PG-13
363,GO PURPLE,1986,1,54,R
364,GODFATHER DIARY,1987,1,73,NC-17
365,GOLD RIVER,1988,1,154,R
366,GOLDFINGER SENSIBILITY,1989,1,93,G
367,GOLDMINE TYCOON,1990,1,153,R
368,GONE TROUBLE,1991,1,84,R
369,GOODFELLAS SALUTE,1992,1,56,PG
370,GORGEOUS BINGO,1993,1,108,R
371,GOSFORD DONNIE,1994,1,129,G
372,GRACELAND DYNAMITE,1995,1,140,R
373,GRADUATE LORD,1996,1,156,G
374,GRAFFITI LOVE,1997,1,117,PG
375,GRAIL FRANKENSTEIN,1998,1,85,NC-17
376,GRAPES FURY,1999,1,155,G
377,GREASE YOUTH,2000,1,135,G
378,GREATEST NORTH,2001,1,93,NC-17
379,GREEDY ROOTS,2002,1,166,R
380,GREEK EVERYONE,2003,1,176,PG
381,GRINCH MASSAGE,2004,1,150,R
382,GRIT CLOCKWORK,2005,1,137,PG
383,GROOVE FICTION,2006,1,111,NC-17
384,GROSSE WONDERFUL,2007,1,49,R
385,GROUNDHOG UNCUT,2008,1,139,PG-13
386,GUMP DATE,2009,1,53,NC-17
387,GUN BONNIE,2010,1,100,G
388,GUNFIGHT MOON,2011,1,70,NC-17
389,GUNFIGHTER MUSSOLINI,2012,1,127,PG-13
390,GUYS FALCON,2013,1,84,R
391,HALF OUTFIELD,2014,1,146,PG-13
392,HALL CASSIDY,2015,1,51,NC-17
393,HALLOWEEN NUTS,2016,1,47,PG-13
394,HAMLET WISDOM,2017,1,146,R
395,HANDICAP BOONDOCK,2018,1,108,R
396,HANGING DEEP,2019,1,62,G
397,HANKY OCTOBER,2020,1,107,NC-17
398,HANOVER GALAXY,2006,1,47,NC-17
399,HAPPINESS UNITED,2006,1,100,G
400,HARDLY ROBBERS,2006,1,72,R
401,HAROLD FRENCH,2006,6,168,NC-17
402,HARPER DYING,2006,6,52,G
403,HARRY IDAHO,2006,6,121,PG-13
404,HATE HANDICAP,2006,6,107,PG
405,HAUNTED ANTITRUST,2006,6,76,NC-17
406,HAUNTING PIANIST,1968,6,181,R
407,HAWK CHILL,1969,6,47,PG-13
408,HEAD STRANGER,1970,6,69,R
409,HEARTBREAKERS BRIGHT,1971,1,59,G
410,HEAVEN FREEDOM,1972,5,48,PG
411,HEAVENLY GUN,1973,5,49,NC-17
412,HEAVYWEIGHTS BEAST,1974,5,102,G
413,HEDWIG ALTER,1975,5,169,NC-17
414,HELLFIGHTERS SIERRA,1976,5,75,PG
415,HIGH ENCINO,1977,5,84,R
416,HIGHBALL POTTER,1978,5,110,R
417,HILLS NEIGHBORS,1979,5,93,G
418,HOBBIT ALIEN,1980,5,157,PG-13
419,HOCUS FRIDA,1981,5,141,G
420,HOLES BRANNIGAN,1982,5,128,PG
421,HOLIDAY GAMES,1983,5,78,PG-13
422,HOLLOW JEOPARDY,1984,5,136,NC-17
423,HOLLYWOOD ANONYMOUS,1985,5,69,PG
424,HOLOCAUST HIGHBALL,1986,5,149,R
425,HOLY TADPOLE,1987,5,88,R
426,HOME PITY,1988,5,185,R
427,HOMEWARD CIDER,1989,5,103,R
428,HOMICIDE PEACH,1990,5,141,PG-13
429,HONEY TIES,1991,5,84,R
430,HOOK CHARIOTS,1992,5,49,G
431,HOOSIERS BIRDCAGE,1993,5,176,G
432,HOPE TOOTSIE,1994,5,139,NC-17
433,HORN WORKING,1995,5,95,PG
434,HORROR REIGN,1996,5,139,R
435,HOTEL HAPPINESS,1997,5,181,PG-13
436,HOURS RAGE,1998,5,122,NC-17
437,HOUSE DYNAMITE,1999,5,109,R
438,HUMAN GRAFFITI,2000,5,68,NC-17
439,HUNCHBACK IMPOSSIBLE,2001,5,151,PG-13
440,HUNGER ROOF,2002,5,105,G
441,HUNTER ALTER,2003,5,125,PG-13
442,HUNTING MUSKETEERS,2004,5,65,NC-17
443,HURRICANE AFFAIR,2005,5,49,PG
444,HUSTLER PARTY,2006,5,83,NC-17
445,HYDE DOCTOR,2007,5,100,G
446,HYSTERICAL GRAIL,2008,5,150,PG
447,ICE CROSSING,2009,5,131,R
448,IDAHO LOVE,2010,5,172,PG-13
449,IDENTITY LOVER,2011,5,119,PG-13
450,IDOLS SNATCHERS,2012,5,84,NC-17
451,IGBY MAKER,2013,5,160,NC-17
452,ILLUSION AMELIE,2014,5,122,R
453,IMAGE PRINCESS,2015,5,178,PG-13
454,IMPACT ALADDIN,2016,5,180,PG-13
455,IMPOSSIBLE PREJUDICE,2017,5,103,NC-17
456,INCH JET,2018,5,167,NC-17
457,INDEPENDENCE HOTEL,2019,5,157,NC-17
458,INDIAN LOVE,2020,5,135,NC-17
459,INFORMER DOUBLE,2006,5,74,NC-17
460,INNOCENT USUAL,2006,5,178,PG-13
461,INSECTS STONE,2006,5,123,NC-17
462,INSIDER ARIZONA,2006,5,78,NC-17
463,INSTINCT AIRPORT,2006,5,116,PG
464,INTENTIONS EMPIRE,2006,5,107,PG-13
465,INTERVIEW LIAISONS,2006,5,59,R
466,INTOLERABLE INTENTIONS,1968,5,63,PG-13
467,INTRIGUE WORST,1969,5,181,G
468,INVASION CYCLONE,1970,5,97,PG
469,IRON MOON,1971,5,46,PG
470,ISHTAR ROCKETEER,1972,5,79,R
471,ISLAND EXORCIST,1973,5,84,NC-17
472,ITALIAN AFRICAN,1974,5,174,G
473,JACKET FRISCO,1975,5,181,PG-13
474,JADE BUNCH,1976,5,174,NC-17
475,JAPANESE RUN,1977,5,135,G
476,JASON TRAP,1978,5,130,NC-17
477,JAWBREAKER BROOKLYN,1979,5,118,PG
478,JAWS HARRY,1980,1,112,G
479,JEDI BENEATH,1981,1,128,PG
480,JEEPERS WEDDING,1982,1,84,R
481,JEKYLL FROGMEN,1983,1,58,PG
482,JEOPARDY ENCINO,1984,1,102,R
483,JERICHO MULAN,1985,1,171,NC-17
484,JERK PAYCHECK,1986,1,172,NC-17
485,JERSEY SASSY,1987,1,60,PG
486,JET NEIGHBORS,1988,1,59,R
487,JINGLE SAGEBRUSH,1989,1,124,PG-13
488,JOON NORTHWEST,1990,1,105,NC-17
489,JUGGLER HARDLY,1991,1,54,PG-13
490,JUMANJI BLADE,1992,1,121,G
491,JUMPING WRATH,1993,1,74,NC-17
492,JUNGLE CLOSER,1994,1,134,NC-17
493,KANE EXORCIST,1995,1,92,R
494,KARATE MOON,1996,1,120,PG-13
495,KENTUCKIAN GIANT,1997,1,169,PG
496,KICK SAVANNAH,1998,1,179,PG-13
497,KILL BROTHERHOOD,1999,1,54,G
498,KILLER INNOCENT,2000,1,161,R
499,KING EVOLUTION,2001,1,184,NC-17
500,KISS GLORY,2002,1,163,PG-13
501,KISSING DOLLS,2003,1,141,R
502,KNOCK WARLOCK,2004,1,71,PG-13
503,KRAMER CHOCOLATE,2005,1,171,R
504,KWAI HOMEWARD,2006,1,46,PG-13
505,LABYRINTH LEAGUE,2007,1,46,PG-13
506,LADY STAGE,2008,1,67,PG
507,LADYBUGS ARMAGEDDON,2009,1,113,NC-17
508,LAMBS CINCINATTI,2010,1,144,PG-13
509,LANGUAGE COWBOY,2011,1,78,NC-17
510,LAWLESS VISION,2012,1,181,G
511,LAWRENCE LOVE,2013,1,175,NC-17
512,LEAGUE HELLFIGHTERS,2014,1,110,PG-13
513,LEATHERNECKS DWARFS,2015,1,153,PG-13
514,LEBOWSKI SOLDIERS,2016,1,69,PG-13
515,LEGALLY SECRETARY,2017,1,113,PG
516,LEGEND JEDI,2018,1,59,PG
517,LESSON CLEOPATRA,2019,1,167,NC-17
518,LIAISONS SWEET,2020,1,140,PG
519,LIBERTY MAGNIFICENT,2006,1,138,G
520,LICENSE WEEKEND,2006,1,91,NC-17
521,LIES TREATMENT,2006,1,147,NC-17
522,LIFE TWISTED,2006,1,137,NC-17
523,LIGHTS DEER,1968,1,174,R
524,LION UNCUT,1969,1,50,PG
525,LOATHING LEGALLY,1970,2,140,R
526,LOCK REAR,1971,2,120,R
527,LOLA AGENT,1972,2,85,PG
528,LOLITA WORLD,1973,2,155,NC-17
529,LONELY ELEPHANT,1974,2,67,G
530,LORD ARIZONA,1975,2,108,PG-13
531,LOSE INCH,1976,2,137,R
532,LOSER HUSTLER,1977,2,80,PG
533,LOST BIRD,1978,2,98,PG-13
534,LOUISIANA HARRY,1979,2,70,PG-13
535,LOVE SUICIDES,1980,2,181,R
536,LOVELY JINGLE,1981,2,65,PG
537,LOVER TRUMAN,1982,2,75,G
538,LOVERBOY ATTACKS,1983,2,162,PG-13
539,LUCK OPUS,1984,2,152,NC-17
540,LUCKY FLYING,1985,1,97,PG-13
541,LUKE MUMMY,1986,1,74,NC-17
542,LUST LOCK,1987,1,52,G
543,MADIGAN DORADO,1988,1,116,R
544,MADISON TRAP,1989,1,147,R
545,MADNESS ATTACKS,1990,1,178,PG-13
546,MADRE GABLES,1991,1,98,PG-13
547,MAGIC MALLRATS,1992,1,117,PG
548,MAGNIFICENT CHITTY,1993,1,53,R
549,MAGNOLIA FORRESTER,1994,1,171,PG-13
550,MAGUIRE APACHE,1995,1,74,NC-17
551,MAIDEN HOME,1996,1,138,PG
552,MAJESTIC FLOATS,1997,1,130,PG
553,MAKER GABLES,1998,1,136,PG-13
554,MALKOVICH PET,1999,1,159,G
555,MALLRATS UNITED,2000,1,133,PG
556,MALTESE HOPE,2001,1,127,PG-13
557,MANCHURIAN CURTAIN,2002,1,177,PG
558,MANNEQUIN WORST,2003,1,71,PG-13
559,MARRIED GO,2004,3,114,G
560,MARS ROMAN,2005,3,62,NC-17
561,MASK PEACH,2006,3,123,NC-17
562,MASKED BUBBLE,2007,3,151,PG-13
563,MASSACRE USUAL,2008,3,165,R
564,MASSAGE IMAGE,2009,3,161,PG
565,MATRIX SNOWMAN,2010,3,56,PG-13
566,MAUDE MOD,2011,3,72,R
567,MEET CHOCOLATE,2012,3,80,G
568,MEMENTO ZOOLANDER,2013,3,77,NC-17
569,MENAGERIE RUSHMORE,2014,3,147,G
570,MERMAID INSECTS,2015,3,104,NC-17
571,METAL ARMAGEDDON,2016,3,161,PG-13
572,METROPOLIS COMA,2017,3,64,PG-13
